,EMPRESA,BARRA TRANSFERENCIA,CODIGO,ENTREGA/RETIRO,CENTRAL/CLIENTE
3649,KALLPA GENERACION S.A.,TRUJILLO 220,CB00947KLL,Retiro,LACTEA S.A
3650,KALLPA GENERACION S.A.,INDEPENDENCIA 220,CB00944KLL,Retiro,HIELO SEFRIN S.R.L.
3651,KALLPA GENERACION S.A.,SANTA ROSA 220,CB00945KLL,Retiro,INKA TUBOS S.A.
3652,KALLPA GENERACION S.A.,CHIMBOTE1 138,CB00946KLL,Retiro,INVERSIONES REGAL S.A
3653,KALLPA GENERACION S.A.,TRUJILLO 220,CB00951KLL,Retiro,MOLINO LA PERLA S.A.C.
3654,KALLPA GENERACION S.A.,SANTA ROSA 220,CB00926KLL,Retiro,AI INVERSIONES PALO ALTO II S.A.C.
3655,KALLPA GENERACION S.A.,TRUJILLO 220,CB00943KLL,Retiro,GREEN PERU S.A
3656,KALLPA GENERACION S.A.,OROYA NUEVA 50,CB00930KLL,Retiro,ALPAYANA
3657,KALLPA GENERACION S.A.,SANTA ROSA 220,CB00940KLL,Retiro,CREDITEX: CIA IND.TEXTIL CREDISA
3658,KALLPA GENERACION S.A.,INDEPENDENCIA 220,CB00939KLL,Retiro,CREDITEX: CIA IND.TEXTIL CREDISA
3659,KALLPA GENERACION S.A.,TRUJILLO 220,CB00941KLL,Retiro,CREDITEX: CIA IND.TEXTIL CREDISA
3660,KALLPA GENERACION S.A.,SANTA ROSA 220,CB00959KLL,Retiro,TEXGROUP S.A.
3661,KALLPA GENERACION S.A.,CAJAMARCA 220,CB00936KLL,Retiro,CIA MINERA PODEROSA S.A.
3662,KALLPA GENERACION S.A.,CHAVARRIA 220,CB00927KLL,Retiro,ALICORP
3663,KALLPA GENERACION S.A.,CHAVARRIA 220,CB00928KLL,Retiro,ALICORP
3664,KALLPA GENERACION S.A.,CHAVARRIA 220,CB00929KLL,Retiro,ALICORP
3665,KALLPA GENERACION S.A.,PIURA OESTE 220,CB00955KLL,Retiro,PRODUCTORA ANDINA DE CONGELADOS S.R.L.
3666,KALLPA GENERACION S.A.,PIURA OESTE 220,CB00958KLL,Retiro,PRODUCTORA ANDINA DE CONGELADOS S.R.L.
3667,KALLPA GENERACION S.A.,PIURA OESTE 220,CB00957KLL,Retiro,PRODUCTORA ANDINA DE CONGELADOS S.R.L.
3668,KALLPA GENERACION S.A.,PIURA OESTE 220,CB00956KLL,Retiro,PRODUCTORA ANDINA DE CONGELADOS S.R.L.
3669,KALLPA GENERACION S.A.,SANTA ROSA 220,CB00931KLL,Retiro,BANCO CONTINENTAL
3670,KALLPA GENERACION S.A.,SAN JUAN 220,CB00961KLL,Retiro,TEXTIL SAN RAMON S A
3671,KALLPA GENERACION S.A.,SAN JUAN 220,CB00960KLL,Retiro,TEXTIL SAN RAMON S A
3672,KALLPA GENERACION S.A.,PARAMONGA NUEVA 220,CB00954KLL,Retiro,PESQUERA PELAYO S.A.C.
3673,KALLPA GENERACION S.A.,CHAVARRIA 220,CB00934KLL,Retiro,COBRECON S.A.
3674,KALLPA GENERACION S.A.,OROYA NUEVA 50,CB00948KLL,Retiro,MINERA LOS QUENUALES
3675,KALLPA GENERACION S.A.,PARAGSHA2 138,CB00949KLL,Retiro,MINERA LOS QUENUALES
3676,KALLPA GENERACION S.A.,SANTA ROSA 220,CB00933KLL,Retiro,CBC PERUANA S.A.C.
3677,KALLPA GENERACION S.A.,PIURA OESTE 220,CB00932KLL,Retiro,CBC PERUANA S.A.C.
3678,KALLPA GENERACION S.A.,CHAVARRIA 220,CB00937KLL,Retiro,CONSORCIO METALÚRGICO
3679,KALLPA GENERACION S.A.,SAN JUAN 220,CB00942KLL,Retiro,EXSA
3680,KALLPA GENERACION S.A.,CAJAMARCA 220,CB00950KLL,Retiro,MINERA YANACOCHA
3681,KALLPA GENERACION S.A.,CHAVARRIA 220,CB00952KLL,Retiro,OWENS-ILLINOIS PERÚ S.A.
3682,KALLPA GENERACION S.A.,SAN JUAN 220,CB00953KLL,Retiro,OWENS-ILLINOIS PERÚ S.A.
3683,KALLPA GENERACION S.A.,CARIPA138,CB00935KLL,Retiro,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.
3684,ORAZUL ENERGY PERÚ,CHICLAYO 220,CB0084OEP,Retiro,MOLINOS LOS ANGELES S.R.L
