,Contrato,Usuario Libre,Suministrador,Fecha de Suscripción,Fecha de Finalización,Precio Base,Precio FP,Rango de duración,Potencia_HP,Potencia_HFP,BRG,Precio de Potencia,Consistencia,Link,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
4631,,ASOCIACIÓN EDUCACIONAL WILLIAMSON DEL PERU,Coelvisac,2019-01-02 00:00:00,2021-12-31 00:00:00,13.75,13.75,2.9972602739726026,0.5,0.5,,,0,,,,,
4632,,CORPORACIÓN AGROEXPORTICA S.A.C.,Coelvisac,2019-01-02 00:00:00,2023-12-31 00:00:00,14.21,14.21,4.997260273972603,0.25,0.3,,,0,,,,,
4633,,PACIFIC PACKING GROUP S.A.C.,Coelvisac,2019-01-03 00:00:00,2023-12-31 00:00:00,11.25,11.25,4.994520547945205,2.9,2.9,,,0,,,,,
4634,,INVERSIONES AGRICOLAS OLMOS SAC,Coelvisac,2019-01-03 00:00:00,2023-12-31 00:00:00,15.23,15.23,4.994520547945205,3.5,3.5,,,0,,,,,
4635,,CASA CHICA S.A.C.,Coelvisac,2019-01-04 00:00:00,2023-12-31 00:00:00,12.4,12.4,4.991780821917808,0.22,0.22,,,0,,,,,
4636,,AGRO LATAM S.A.C.,Coelvisac,2019-01-06 00:00:00,2023-12-31 00:00:00,15.23,15.23,4.986301369863014,0.7,0.7,,,0,,,,,
4637,,AGROVISION PERU S.A.C.,Coelvisac,2019-01-07 00:00:00,2023-12-31 00:00:00,19.33,19.33,4.983561643835617,2,2,,,0,,,,,
4638,,INVERSIONES SUR ANDINA S.A.C.,Coelvisac,2019-01-09 00:00:00,2023-12-31 00:00:00,13.26,13.26,4.978082191780822,1.25,1.25,,,0,,,,,
4639,,AGRICOLA DON TOMAS S.A.C.,Coelvisac,2019-01-09 00:00:00,2022-12-31 00:00:00,13.73,13.73,3.978082191780822,0.35,0.35,,,0,,,,,
4640,,AGROPEX S.A.C,Coelvisac,2019-01-10 00:00:00,2023-12-31 00:00:00,14.27,14.27,4.975342465753425,0.25,0.25,,,0,,,,,
4641,,Agricola Yacanto S.A.,Coelvisac,2019-01-11 00:00:00,2023-12-31 00:00:00,13.33,13.33,4.972602739726027,0.45,0.45,,,0,,,,,
4642,,G & C TRADING,Coelvisac,2019-01-11 00:00:00,2023-12-31 00:00:00,11.4,11.4,4.972602739726027,0.35,0.35,,,0,,,,,
4643,,ARENA VERDE S.A.C,Coelvisac,2019-01-12 00:00:00,2024-12-31 00:00:00,19.33,19.33,5.972602739726027,0.5,0.5,,,0,,,,,
4644,,AGROPECUARIA SAN FRANCISCO S.A,Coelvisac,2019-01-12 00:00:00,2023-12-31 00:00:00,13.57,13.57,4.96986301369863,0.25,0.25,,,0,,,,,
4645,,AGROPECUARIA SAN ISIDRO S.A,Coelvisac,2019-01-12 00:00:00,2023-12-31 00:00:00,13.57,13.57,4.96986301369863,0.25,0.25,,,0,,,,,
4646,,TA EXPORT S.A.C.,Coelvisac,2020-01-01 00:00:00,2024-12-31 00:00:00,17.13,17.13,5.002739726027397,0.25,0.25,,,0,,,,,
4647,,AGRICOLA SOL DE VILLACURI S.A.C.,Coelvisac,2020-01-01 00:00:00,2024-12-31 00:00:00,17.13,17.13,5.002739726027397,1.38,1.38,,,0,,,,,
4648,,AGRICOLA ALAYA S.A.C,Coelvisac,2020-01-02 00:00:00,2024-12-31 00:00:00,11.77,11.77,5.0,0.35,1.75,,,0,,,,,
4649,,AGROPECUARIA DOÑA MARIA S.A.C,Coelvisac,2020-01-02 00:00:00,2022-12-31 00:00:00,13.73,13.73,2.9972602739726026,0.6,0.6,,,0,,,,,
4650,,INVERSIONES THEWALY S.A.C.,Coelvisac,2020-01-06 00:00:00,2023-05-31 00:00:00,14.21,14.21,3.4,0.5,0.5,,,0,,,,,
